Poop Vial ID,Field Poop Vial ID,Duplicate Sample?,Poop Time,FCM Analyzed?,FAM Analyzed?,Sample extracted if Two Samples,Extra Fecal Sample?,MeOH extraction volume (uL),EIA Lab,EIA done by,Date Cort EIA,Date Androgen EIA,Cort Dilution,Androgen Dilution,Cort Volume used,Androgen Volume Used,Cort Concentration,Cort CV,Cort Repeat?,Date Cort repeated,Cort Repeat Dilution,Cort Repeat Volume Used,Repeat Cort Concentration,Repeat Cort CV,Cort Final Concentration,Androgen Final Concentration,Androgen CV,Cort EIA Plate ID Run 1,Cort EIA Plate ID Repeat,Androgen EIA Plate ID,Cort High CV?,Androgen High CV?,BJD Repeated for Cort,,,,,,,,,,,,,,,,,,
B2433,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/15/11,32.33333333,9,5.6,10,24.46,,Yes,5/23/11,32.33333333,5.6,25.252,34.6,24.46,14.023,4.4,C.2011.30,,T.2011.13,,,,,,,,,,,,,,,,,,,,,
B2434,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/21/11,32.33333333,9,5.6,10,26.685,10.1,,,,,,,26.685,16.492,16.3,C.2011.38,,T.2011.33,,,,,,,,,,,,,,,,,,,,,
B2440,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/15/11,32.33333333,9,5.6,10,60.02,0,,,,,,,60.02,15.773,7.6,C.2011.15,,T.2011.14,,,,,,,,,,,,,,,,,,,,,
B2448,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,26.039,8.2,,,,,,,26.039,20.083,4.2,C.2011.45,,T.2011.40,,,,,,,,,,,,,,,,,,,,,
B2551,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/21/11,32.33333333,9,5.6,10,15.91,,,,,,,,15.91,18.007,5.7,C.2011.26,,T.2011.32,,,,,,,,,,,,,,,,,,,,,
B2556,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/15/11,32.33333333,9,5.6,10,10.542,1,,,,,,,10.542,16.712,2.4,C.2011.14,,T.2011.13,,,,,,,,,,,,,,,,,,,,,
B2562,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/19/11,32.33333333,9,5.6,10,56.114,15.3,,,,,,,56.114,12.247,19.4,C.2011.31,,T.2011.23,,,,,,,,,,,,,,,,,,,,,
B2566,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/20/11,32.33333333,9,5.6,10,6.857,7.9,,,,,,,6.857,9.882,0.6,C.2011.34,,T.2011.27,,,,,,,,,,,,,,,,,,,,,
B2570,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/25/11,32.33333333,9,5.6,10,26.524,4.9,,,,,,,26.524,22.56,1.8,C.2011.43,,T.2011.38,,,,,,,,,,,,,,,,,,,,,
B2592,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/15/11,32.33333333,9,5.6,10,24.586,10.5,,,,,,,24.586,9.919,13.8,C.2011.22,,T.2011.14,,,,,,,,,,,,,,,,,,,,,
B2595,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/20/11,32.33333333,9,5.6,10,27.185,,,,,,,,27.185,15.783,4.5,C.2011.33,,T.2011.26,,,,,,,,,,,,,,,,,,,,,
B2598,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/18/11,32.33333333,9,5.6,10,42.614,,,,,,,,42.614,13.228,5,C.2011.24,,T.2011.24,,,,,,,,,,,,,,,,,,,,,
B2599,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/15/11,32.33333333,9,5.6,10,21.048,9.8,,20-Dec-15,100,10,23.667,4.814,21.048,12.291,6.9,C.2011.14,12.20.15.P2,T.2011.13,,,,,,,,,,,,,,,,,,,,,
B2607,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/21/11,32.33333333,9,5.6,10,16.476,17,,,,,,,16.476,12.756,3,C.2011.38,,T.2011.33,,,,,,,,,,,,,,,,,,,,,
B2610,,,,Yes,Yes,,,1000,Boonstra,BJD,25-May-11,5/17/11,32.33333333,9,5.6,10,14.63,14.5,,,,,,,14.63,14.917,14.2,C.2011.19,,T.2011.18,,,,,,,,,,,,,,,,,,,,,
B2622,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/15/11,32.33333333,9,5.6,10,14.731,0.6,,,,,,,14.731,9.73,18.8,C.2011.14,,T.2011.13,,,,,,,,,,,,,,,,,,,,,
B2623,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/17/11,32.33333333,9,5.6,10,31.505,11.7,,,,,,,31.505,9.475,16.3,C.2011.53,,T.2011.19,,,,,,,,,,,,,,,,,,,,,
B2625,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/15/11,32.33333333,9,5.6,10,22.654,12.9,,,,,,,22.654,13.875,5.4,C.2011.15,,T.2011.14,,,,,,,,,,,,,,,,,,,,,
B2628,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/19/11,32.33333333,9,5.6,10,19.268,10.1,,,,,,,19.268,27.415,0.2,C.2011.28,,T.2011.22,,,,,,,,,,,,,,,,,,,,,
B2637,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/20/11,32.33333333,9,5.6,10,15.174,,,,,,,,15.174,7.632,3.4,C.2011.35,,T.2011.28,,,,,,,,,,,,,,,,,,,,,
B2638,,,,Yes,Yes,,,1000,Boonstra,BJD,25-May-11,5/18/11,32.33333333,9,5.6,10,33.512,0,,,,,,,33.512,12.118,6.7,C.2011.19,,T.2011.24,,,,,,,,,,,,,,,,,,,,,
B2645,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/15/11,32.33333333,9,5.6,10,14.292,7.4,,,,,,,14.292,6.299,4.4,C.2011.15,,T.2011.14,,,,,,,,,,,,,,,,,,,,,
B2652,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/17/11,32.33333333,9,5.6,10,18.728,1.8,,,,,,,18.728,15.259,3.4,C.2011.53,,T.2011.17,,,,,,,,,,,,,,,,,,,,,
B2656,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/21/11,32.33333333,9,5.6,10,16.6,0.6,,,,,,,16.6,23.149,1.2,C.2011.37,,T.2011.31,,,,,,,,,,,,,,,,,,,,,
B2657,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/20/11,32.33333333,9,5.6,10,48.146,13.4,,,,,,,48.146,30.408,2,C.2011.24,,T.2011.30,,,,,,,,,,,,,,,,,,,,,
B2658,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/21/11,32.33333333,9,5.6,10,54.946,1.9,,,,,,,54.946,18.445,2.1,C.2011.38,,T.2011.33,,,,,,,,,,,,,,,,,,,,,
B2659,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/15/11,32.33333333,9,5.6,10,21.676,2.1,,,,,,,21.676,14.148,14.2,C.2011.30,,T.2011.13,,,,,,,,,,,,,,,,,,,,,
B2667,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/15/11,32.33333333,9,5.6,10,42.676,11.9,,,,,,,42.676,15.265,5.2,C.2011.15,,T.2011.14,,,,,,,,,,,,,,,,,,,,,
B2672,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/20/11,32.33333333,9,5.6,10,20.627,0.7,,,,,,,20.627,20.227,4.2,C.2011.34,,T.2011.27,,,,,,,,,,,,,,,,,,,,,
B2673,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/20/11,32.33333333,9,5.6,10,22.729,2.5,,,,,,,22.729,10.169,6.3,C.2011.34,,T.2011.27,,,,,,,,,,,,,,,,,,,,,
B2678,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/15/11,32.33333333,9,5.6,10,55.449,16.5,,20-Dec-15,100,10,59.909,5.79,55.449,76.619,,C.2011.14,12.20.15.P2,T.2011.13,,,,,,,,,,,,,,,,,,,,,
B2691,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/15/11,32.33333333,9,5.6,10,24.388,5.4,,,,,,,24.388,11.271,15.1,C.2011.30,,T.2011.11,,,,,,,,,,,,,,,,,,,,,
B2693,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/21/11,32.33333333,9,5.6,10,6.124,11.1,,,,,,,6.124,3.458,0.2,C.2011.38,,T.2011.33,,,,,,,,,,,,,,,,,,,,,
B2698,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/19/11,32.33333333,9,5.6,10,14.681,,,,,,,,14.681,5.65,0.9,C.2011.31,,T.2011.23,,,,,,,,,,,,,,,,,,,,,
B2700,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/15/11,32.33333333,9,5.6,10,12.689,,,,,,,,12.689,14.539,5.1,C.2011.14,,T.2011.13,,,,,,,,,,,,,,,,,,,,,
B2702,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,27.222,11.3,,,,,,,27.222,15.752,8.5,C.2011.47,,T.2011.42,,,,,,,,,,,,,,,,,,,,,
B2710,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/20/11,32.33333333,9,5.6,10,18.077,9.9,,,,,,,18.077,19.601,7.5,C.2011.53,,T.2011.30,,,,,,,,,,,,,,,,,,,,,
B2712,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/21/11,32.33333333,9,5.6,10,49.173,7.6,,,,,,,49.173,14.275,0.5,C.2011.38,,T.2011.33,,,,,,,,,,,,,,,,,,,,,
B2721,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/21/11,32.33333333,9,5.6,10,35.691,3.3,,,,,,,35.691,18.922,5.8,C.2011.31,,T.2011.32,,,,,,,,,,,,,,,,,,,,,
B2722,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/15/11,32.33333333,9,5.6,10,31.581,2.7,,,,,,,31.581,23.822,14.5,C.2011.15,,T.2011.14,,,,,,,,,,,,,,,,,,,,,
B2724,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,44.25,12.5,,,,,,,44.25,27.167,0.7,C.2011.44,,T.2011.39,,,,,,,,,,,,,,,,,,,,,
B2736,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/19/11,32.33333333,9,5.6,10,11.926,1.4,,,,,,,11.926,9.753,1,C.2011.28,,T.2011.22,,,,,,,,,,,,,,,,,,,,,
B2738,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/21/11,32.33333333,9,5.6,10,16.102,16.4,,,,,,,16.102,15.561,10.2,C.2011.32,,T.2011.32,,,,,,,,,,,,,,,,,,,,,
B2853,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,18.122,0.8,,,,,,,18.122,11.7,7.9,C.2011.48,,T.2011.43,,,,,,,,,,,,,,,,,,,,,
B2869,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/18/11,32.33333333,9,5.6,10,11.365,13.8,,,,,,,11.365,10.76,1.4,C.2011.26,,T.2011.20,,,,,,,,,,,,,,,,,,,,,
B2872,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/29/11,32.33333333,9,5.6,10,11.601,,,,,,,,11.601,19.744,0,C.2011.46,,T.2011.41,,,,,,,,,,,,,,,,,,,,,
B2873,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,48.018,,,,,,,,48.018,19.277,0,C.2011.45,,T.2011.40,,,,,,,,,,,,,,,,,,,,,
B2877,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,6/1/11,32.33333333,9,5.6,10,36.761,6,,,,,,,36.761,6.166,19.6,C.2011.51,,T.2011.46,,,,,,,,,,,,,,,,,,,,,
B2880,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/15/11,32.33333333,9,5.6,10,39.802,5.7,,,,,,,39.802,17.081,3.5,C.2011.12,,T.2011.11,,,,,,,,,,,,,,,,,,,,,
B2890,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,7.784,,,,,,,,7.784,4.671,0,C.2011.50,,T.2011.45,,,,,,,,,,,,,,,,,,,,,
B2891,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Jun-11,5/31/11,32.33333333,9,5.6,10,5.89,20.3,Yes,5/31/11,32.33333333,5.6,4.137,25.4,5.89,6.678,2.4,C.2011.55,,T.2011.45,Y,,,,,,,,,,,,,,,,,,,,
B2899,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,29.724,2.1,,,,,,,29.724,39.153,7.3,C.2011.49,,T.2011.44,,,,,,,,,,,,,,,,,,,,,
B2904,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,26.034,,,,,,,,26.034,10.227,0,C.2011.50,,T.2011.45,,,,,,,,,,,,,,,,,,,,,
B2926,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,8.049,6.1,,,,,,,8.049,5.909,4.8,C.2011.48,,T.2011.43,,,,,,,,,,,,,,,,,,,,,
B2928,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,17.428,5.2,,,,,,,17.428,13.347,0.9,C.2011.49,,T.2011.44,,,,,,,,,,,,,,,,,,,,,
B2935,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Jun-11,6/1/11,32.33333333,9,5.6,10,7.453,,,,,,,,7.453,7.032,0,C.2011.55,,T.2011.47,,,,,,,,,,,,,,,,,,,,,
B2943,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/29/11,32.33333333,9,5.6,10,10.254,,,,,,,,10.254,11.965,0,C.2011.46,,T.2011.41,,,,,,,,,,,,,,,,,,,,,
B2947,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,17.713,3.4,,,,,,,17.713,9.132,7.7,C.2011.45,,T.2011.40,,,,,,,,,,,,,,,,,,,,,
B2957,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,12.113,,,,,,,,12.113,19.673,0,C.2011.49,,T.2011.44,,,,,,,,,,,,,,,,,,,,,
B2960,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Jun-11,5/31/11,32.33333333,9,5.6,10,47.746,0.6,,,,,,,47.746,19.846,0,C.2011.55,,T.2011.45,,,,,,,,,,,,,,,,,,,,,
B2964,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,6/1/11,32.33333333,9,5.6,10,47.503,13.2,,,,,,,47.503,17.637,4.1,C.2011.51,,T.2011.46,,,,,,,,,,,,,,,,,,,,,
B2967,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,6/1/11,32.33333333,9,5.6,10,12.584,,,,,,,,12.584,12.944,0,C.2011.51,,T.2011.46,,,,,,,,,,,,,,,,,,,,,
B2968,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,9.344,,,,,,,,9.344,19.184,8.2,C.2011.49,,T.2011.44,,,,,,,,,,,,,,,,,,,,,
B2969,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,19.092,10.2,,,,,,,19.092,8.352,1.2,C.2011.50,,T.2011.45,,,,,,,,,,,,,,,,,,,,,
B2974,,,,Yes,Yes,,,1000,Boonstra,BJD,25-May-11,5/17/11,32.33333333,9,5.6,10,25.269,7.6,,,,,,,25.269,13.079,9.6,C.2011.19,,T.2011.18,,,,,,,,,,,,,,,,,,,,,
B2976,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,27.613,0.8,,,,,,,27.613,7.206,1.2,C.2011.47,,T.2011.42,,,,,,,,,,,,,,,,,,,,,
B2989,,Y,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,28.822,,,,,,,,28.822,17.085,0,C.2011.45,,T.2011.40,,,,,,,,,,,,,,,,,,,,,
B2995,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,18.965,0.9,,,,,,,18.965,17.635,9.9,C.2011.50,,T.2011.45,,,,,,,,,,,,,,,,,,,,,
B2999,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,20.066,7.2,,,,,,,20.066,17.422,0.6,C.2011.48,,T.2011.43,,,,,,,,,,,,,,,,,,,,,
B3002,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,58.703,12.2,,,,,,,58.703,36.651,9,C.2011.45,,T.2011.40,,,,,,,,,,,,,,,,,,,,,
B3013,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,22.969,1.3,,,,,,,22.969,26.698,2.5,C.2011.49,,T.2011.44,,,,,,,,,,,,,,,,,,,,,
B3017,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Jun-11,6/1/11,32.33333333,9,5.6,10,28.975,,,,,,,,28.975,16.58,10.8,C.2011.55,,T.2011.47,,,,,,,,,,,,,,,,,,,,,
B3021,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,12.619,,,,,,,,12.619,13.024,0,C.2011.50,,T.2011.45,,,,,,,,,,,,,,,,,,,,,
B3032,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,29.268,2.8,,,,,,,29.268,29.547,1.1,C.2011.49,,T.2011.44,,,,,,,,,,,,,,,,,,,,,
B3036,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Jun-11,6/1/11,32.33333333,9,5.6,10,20.666,1.8,,,,,,,20.666,19.408,1.3,C.2011.55,,T.2011.47,,,,,,,,,,,,,,,,,,,,,
B3037,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,33.956,0.8,,,,,,,33.956,25.5,11.6,C.2011.48,,T.2011.43,,,,,,,,,,,,,,,,,,,,,
B3038,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,12.285,,,,,,,,12.285,11.616,0,C.2011.47,,T.2011.42,,,,,,,,,,,,,,,,,,,,,
B3041,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/25/11,32.33333333,9,5.6,10,24.831,10.9,,,,,,,24.831,21.245,6.7,C.2011.42,,T.2011.37,,,,,,,,,,,,,,,,,,,,,
B3052,,,,,Yes,,,1000,Boonstra,BJD,,6/1/11,,9,,10,,,,,,,,,,15.582,2.6,,,T.2011.47,,,,,,,,,,,,,,,,,,,,,
B3060,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,6/1/11,32.33333333,9,5.6,10,24.84,1.7,,,,,,,24.84,11.573,14.5,C.2011.49,,T.2011.47,,,,,,,,,,,,,,,,,,,,,
B3069,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,28.119,8.6,,,,,,,28.119,28.459,6.8,C.2011.48,,T.2011.43,,,,,,,,,,,,,,,,,,,,,
B3071,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,11.351,,,,,,,,11.351,8.228,0,C.2011.50,,T.2011.45,,,,,,,,,,,,,,,,,,,,,
B3072,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/29/11,32.33333333,9,5.6,10,13.635,16.7,,,,,,,13.635,26.007,4.8,C.2011.46,,T.2011.41,,,,,,,,,,,,,,,,,,,,,
B3086,,,,,Yes,,,1000,Boonstra,BJD,,6/1/11,,9,,10,,,,,,,,,,15.395,1.9,,,T.2011.47,,,,,,,,,,,,,,,,,,,,,
B3099,,,,,Yes,,,1000,Boonstra,BJD,,6/1/11,,9,,10,,,,,,,,,,16.44,7.4,,,T.2011.47,,,,,,,,,,,,,,,,,,,,,
B3109,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,16.549,1.2,,,,,,,16.549,14.026,2,C.2011.50,,T.2011.45,,,,,,,,,,,,,,,,,,,,,
B3113,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,111.152,17.1,,,,,,,111.152,68.32,8.1,C.2011.45,,T.2011.40,,,,,,,,,,,,,,,,,,,,,
B3116,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,37.055,6,,,,,,,37.055,19.343,10.2,C.2011.47,,T.2011.42,,,,,,,,,,,,,,,,,,,,,
B3117,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,91.421,5.2,,,,,,,91.421,55.581,13.6,C.2011.48,,T.2011.43,,,,,,,,,,,,,,,,,,,,,
B3119,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/15/11,32.33333333,9,5.6,10,15.179,,,,,,,,15.179,19.228,18.5,C.2011.15,,T.2011.14,,,,,,,,,,,,,,,,,,,,,
B3125,,,,Yes,Yes,,,1000,Boonstra,BJD,29-May-11,5/21/11,32.33333333,9,5.6,10,61.321,,,,,,,,61.321,20.793,20.7,C.2011.38,,T.2011.33,,Y,,,,,,,,,,,,,,,,,,,
B3132,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,33.577,,,,,,,,33.577,13.747,0,C.2011.45,,T.2011.40,,,,,,,,,,,,,,,,,,,,,
B3134,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,22.606,,,,,,,,22.606,11.077,0,C.2011.47,,T.2011.42,,,,,,,,,,,,,,,,,,,,,
B3136,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,16.796,1,,,,,,,16.796,11.741,5.1,C.2011.45,,T.2011.40,,,,,,,,,,,,,,,,,,,,,
B3137,,Y,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/16/11,32.33333333,9,5.6,10,20.746,1,,,,,,,20.746,10.431,11.1,C.2011.29,,T.2011.16,,,,,,,,,,,,,,,,,,,,,
B3137,,Y,,Yes,,,,1000,Boonstra,BJD,Previously analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3140,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/17/11,32.33333333,9,5.6,10,53.887,14.4,,,,,,,53.887,20.004,8.5,C.2011.24,,T.2011.17,,,,,,,,,,,,,,,,,,,,,
B3141,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,27.403,0.6,,,,,,,27.403,30.85,9.4,C.2011.50,,T.2011.45,,,,,,,,,,,,,,,,,,,,,
B3145,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/29/11,32.33333333,9,5.6,10,4.345,10.6,,,,,,,4.345,5.657,21.9,C.2011.46,,T.2011.41,,Y,,,,,,,,,,,,,,,,,,,
B3152,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/20/11,32.33333333,9,5.6,10,13.713,6.6,,,,,,,13.713,16.722,9.6,C.2011.34,,T.2011.27,,,,,,,,,,,,,,,,,,,,,
B3154,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,8.659,15.5,,,,,,,8.659,6.652,0.1,C.2011.47,,T.2011.42,,,,,,,,,,,,,,,,,,,,,
B3156,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,14.402,,,,,,,,14.402,7.534,0,C.2011.47,,T.2011.42,,,,,,,,,,,,,,,,,,,,,
B3158,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,14.878,12.1,,,,,,,14.878,16.602,6.9,C.2011.48,,T.2011.43,,,,,,,,,,,,,,,,,,,,,
B3159,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/18/11,32.33333333,9,5.6,10,18.296,,,,,,,,18.296,14.389,1.3,C.2011.14,,T.2011.24,,,,,,,,,,,,,,,,,,,,,
B3161,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/29/11,32.33333333,9,5.6,10,6.348,12.5,,,,,,,6.348,8.713,1.6,C.2011.46,,T.2011.41,,,,,,,,,,,,,,,,,,,,,
B3162,,,,Yes,Yes,,,1000,Boonstra,BJD,25-May-11,5/18/11,32.33333333,9,5.6,10,25.031,16.8,,,,,,,25.031,14.114,10.2,C.2011.19,,T.2011.24,,,,,,,,,,,,,,,,,,,,,
B3164,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/26/11,32.33333333,9,5.6,10,17.015,5.3,,,,,,,17.015,18.157,19,C.2011.45,,T.2011.40,,,,,,,,,,,,,,,,,,,,,
B3168,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/29/11,32.33333333,9,5.6,10,50.659,,,,,,,,50.659,19.315,0,C.2011.46,,T.2011.41,,,,,,,,,,,,,,,,,,,,,
B3171,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,60.533,13.9,,,,,,,60.533,12.669,0.1,C.2011.48,,T.2011.43,,,,,,,,,,,,,,,,,,,,,
B3174,,,,Yes,Yes,,,1000,Boonstra,BJD,28-May-11,5/20/11,32.33333333,9,5.6,10,15.289,8.8,,,,,,,15.289,12.073,7.9,C.2011.33,,T.2011.26,,,,,,,,,,,,,,,,,,,,,
B3176,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/16/11,32.33333333,9,5.6,10,39.353,7.8,,,,,,,39.353,26.097,10.9,C.2011.23,,T.2011.16,,,,,,,,,,,,,,,,,,,,,
B3180,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,42.309,,,,,,,,42.309,35.326,0,C.2011.49,,T.2011.44,,,,,,,,,,,,,,,,,,,,,
B3181,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/31/11,32.33333333,9,5.6,10,25.031,9.3,,,,,,,25.031,11.505,6.2,C.2011.49,,T.2011.44,,,,,,,,,,,,,,,,,,,,,
B3184,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/20/11,32.33333333,9,5.6,10,6.483,,,,,,,,6.483,11.957,9.9,C.2011.28,,T.2011.30,,,,,,,,,,,,,,,,,,,,,
B3185,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Jun-11,6/1/11,32.33333333,9,5.6,10,11.788,6.3,,,,,,,11.788,13.905,11,C.2011.55,,T.2011.47,,,,,,,,,,,,,,,,,,,,,
B3186,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,6/1/11,32.33333333,9,5.6,10,15.99,5.9,,,,,,,15.99,5.719,0,C.2011.45,,T.2011.48,,,,,,,,,,,,,,,,,,,,,
B3190,,,,Yes,Yes,,,1000,Boonstra,BJD,30-May-11,5/30/11,32.33333333,9,5.6,10,45.992,8.6,,,,,,,45.992,15.358,4.8,C.2011.47,,T.2011.42,,,,,,,,,,,,,,,,,,,,,
