"","litter_id","year","grid","squirrel_id","ln","part_date","part_source"
"133",137,2013,"KL",11272,1,132,"trap"
"134",138,2013,"SU",11576,1,132,"trap"
"135",139,2013,"JO",10593,1,130,"weight"
"136",140,2013,"JO",11994,1,130,"trap"
"137",141,2013,"JO",12319,1,130,"trap"
"138",142,2013,"JO",12369,1,130,"trap"
"139",143,2013,"JO",13688,1,130,"trap"
"140",144,2013,"SU",11577,1,130,"trap"
"141",145,2013,"KL",10318,1,133,"trap"
"142",146,2013,"SU",12191,1,129,"trap"
"143",147,2013,"SU",12003,1,134,"trap"
"144",148,2013,"SU",11002,1,134,"trap"
"145",149,2013,"SU",11953,1,135,"trap"
"146",151,2013,"SU",12973,1,134,"trap"
"147",152,2013,"KL",12827,1,134,"trap"
"148",153,2013,"KL",13185,1,135,"trap"
"149",154,2013,"KL",11344,1,118,"field"
"150",155,2013,"KL",12629,1,136,"trap"
"151",156,2013,"JO",11729,1,135,"trap"
"152",157,2013,"SU",12524,1,134,"trap"
"153",158,2013,"SU",19267,1,136,"trap"
"154",159,2013,"KL",11841,1,138,"weight"
"155",160,2013,"KL",13010,1,136,"weight"
"156",161,2013,"KL",12628,1,135,"trap"
"157",162,2013,"AG",11349,1,113,"field"
"158",163,2013,"SU",13667,1,140,"trap"
"159",164,2013,"JO",12699,1,140,"weight"
"160",165,2013,"AG",13627,1,139,"weight"
"161",166,2013,"SU",13085,1,145,"trap"
"162",167,2013,"KL",12202,1,136,"weight"
"163",168,2013,"SU",13134,1,138,"field"
"164",171,2013,"SU",13130,1,154,"weight"
"165",172,2013,"AG",19298,1,142,"field"
"166",177,2013,"SU",11946,1,111,"trap"
"167",328,1987,"KL",69,1,100,"field"
"168",329,1987,"KL",73,1,83,"field"
"169",330,1987,"KL",76,1,85,"field"
"170",331,1987,"KL",158,1,65,"field"
"171",332,1987,"KL",217,1,133,"field"
"172",334,1987,"KL",241,1,91,"field"
"173",338,1987,"KL",371,1,78,"field"
"174",339,1987,"KL",567,1,92,"field"
"175",345,1987,"KL",875,1,67,"field"
"176",346,1987,"KL",880,1,76,"field"
"177",350,1987,"KL",1397,1,78,"field"
"178",351,1987,"KL",1890,1,35,"field"
"179",352,1987,"KL",8838,1,87,"field"
"180",353,1987,"SU",67,1,34,"field"
"181",357,1987,"SU",199,1,84,"field"
"182",359,1987,"SU",399,1,91,"field"
"183",360,1987,"SU",613,1,89,"field"
"184",361,1987,"SU",687,1,NA,NA
"185",362,1987,"SU",688,1,59,"field"
"186",372,1987,"SU",1516,1,98,"field"
"187",374,1987,"SU",1693,1,67,"field"
"188",396,1988,"KL",241,1,127,"weight"
"189",398,1988,"KL",325,1,121,"weight"
"190",399,1988,"KL",356,1,129,"weight"
"191",400,1988,"KL",369,1,151,"weight"
"192",401,1988,"KL",370,1,125,"weight"
"193",405,1988,"KL",695,1,131,"weight"
"194",412,1988,"KL",880,1,115,"weight"
"195",418,1988,"KL",1321,1,107,"field"
"196",419,1988,"KL",1397,1,104,"field"
"197",421,1988,"LL",337,1,158,"weight"
"198",425,1988,"LL",424,1,106,"field"
"199",426,1988,"LL",425,1,103,"field"
"200",427,1988,"LL",543,1,123,"weight"
"201",428,1988,"LL",595,1,116,"field"
"202",429,1988,"LL",601,1,105,"field"
"203",430,1988,"LL",611,1,143,"weight"
"204",432,1988,"LL",662,1,93,"field"
"205",433,1988,"LL",729,1,123,"field"
"206",438,1988,"LL",1032,1,120,"field"
"207",439,1988,"LL",1042,1,112,"field"
"208",441,1988,"LL",1144,1,114,"field"
"209",447,1988,"SU",279,1,122,"field"
"210",450,1988,"SU",399,1,120,"weight"
"211",452,1988,"SU",613,1,115,"weight"
