"","squirrel_id","litter_id","grid","year","mean_growth","cones_tm1","spr_density","age","bucket","bucket2","ls","std_Growt","std_LS","part_date","covariance","grid_year","scaled_part_date"
"1",19264,6088,"AG",2015,1.94722222222222,3.92173718541744,4.73985890652557,2,0,1,3,0.270251733278188,0.319111103773786,70,NA,"AG_2015",-2.02372917697336
"2",19311,6164,"AG",2015,2.01739130434783,3.92173718541744,4.73985890652557,2,0,1,2,0.434141245842526,-1.38281478301974,85,-0.13946390200361,"AG_2015",0.161898334157869
"3",19311,6499,"AG",2016,1.45416666666667,0,4.1005291005291,3,0,0,3,-0.616037868238777,0.247549640352635,98,-0.321279714812432,"AG_2016",0.506615793047715
"4",19311,7725,"AG",2017,1.75,0.385431561719687,3.48324514991182,4,0,0,3,0.0556638968187241,0.0830414468556627,122,-0.211859536317867,"AG_2017",0.91119148078529
"5",19315,5863,"AG",2014,0.88804347826087,1.45918028713788,3.15255731922399,1,0,0,4,-1.61586347738429,0.681869616924817,143,-0.444716673548989,"AG_2014",0.811668436266884
"6",19315,6194,"AG",2015,2.41388888888889,3.92173718541744,4.73985890652557,2,0,1,4,1.36021572045307,2.02103699056731,84,0.204382307385605,"AG_2015",0.0161898334157873
"7",19317,5723,"AG",2014,1.84166666666667,1.45918028713788,3.15255731922399,1,1,1,5,0.339196469065156,1.75770834585064,118,0.243382084479761,"AG_2014",-0.180475752417899
"8",19317,6217,"AG",2015,1.484,3.92173718541744,4.73985890652557,2,0,1,4,-0.811667281610403,2.02103699056731,93,0.0515396726889813,"AG_2015",1.32756634009452
"9",19321,5864,"AG",2014,0.427083333333333,1.45918028713788,3.15255731922399,1,0,0,4,-2.56089577862681,0.681869616924817,191,0.0552416413934988,"AG_2014",2.71658527854167
"10",19321,6420,"AG",2016,1.46041666666667,0,4.1005291005291,3,1,1,2,-0.600761702072601,-1.32026474854739,69,0.100240682040171,"AG_2016",-1.92849879231976
"11",19321,7726,"AG",2017,1.25438596491228,0.385431561719687,3.48324514991182,4,1,1,3,-1.05739248975491,0.0830414468556627,81,0.116782716671531,"AG_2017",-2.20644952631459
"12",19325,5737,"AG",2014,1.13690476190476,1.45918028713788,3.15255731922399,1,0,0,4,-1.10566329161958,0.681869616924817,120,0.0944716510150651,"AG_2014",-0.101104217323116
"13",19334,6151,"AG",2015,1.8,3.92173718541744,4.73985890652557,2,0,1,3,-0.0736059531519837,0.319111103773786,86,0.0811071006259797,"AG_2015",0.307606834899951
"14",19334,7026,"AG",2016,1.09848484848485,0,4.1005291005291,3,1,1,3,-1.48539059733204,0.247549640352635,89,0.0916319956212071,"AG_2016",-0.24910942310081
"15",19334,7727,"AG",2017,1.95652173913043,0.385431561719687,3.48324514991182,4,1,1,4,0.519473079834981,1.5777874902576,94,0.163538587624722,"AG_2017",-1.21792920699024
"16",19339,5926,"AG",2014,1.78636363636364,1.45918028713788,3.15255731922399,1,0,0,3,0.225817578139189,-0.393969112001005,154,0.112645740835999,"AG_2014",1.24821187928819
"17",19347,6144,"AG",2015,1.93492063492064,3.92173718541744,4.73985890652557,2,0,1,3,0.241519689398578,0.319111103773786,82,0.0994757299766564,"AG_2015",-0.275227168068376
"18",19398,7729,"AG",2017,1.33055555555556,0.385431561719687,3.48324514991182,4,0,0,3,-0.88632984155289,0.0830414468556627,110,0.104407723664717,"AG_2017",-0.00128881397565057
"19",19404,5847,"AG",2014,1.43611111111111,1.45918028713788,3.15255731922399,1,0,0,4,-0.492248731058607,0.681869616924817,136,0.0975774282475106,"AG_2014",0.533868063435145
"20",19404,6145,"AG",2015,1.646,3.92173718541744,4.73985890652557,2,0,1,3,-0.433294068919694,0.319111103773786,82,0.092578498492984,"AG_2015",-0.275227168068376
"21",19404,6504,"AG",2016,1.31866666666667,0,4.1005291005291,3,0,0,3,-0.947225150721465,0.247549640352635,102,0.0931202746958547,"AG_2016",0.842493666891504
"22",19436,5878,"AG",2014,1.303,1.45918028713788,3.15255731922399,1,1,1,4,-0.765144991263612,0.681869616924817,178,0.0851368472127246,"AG_2014",2.20067030042558
"23",19561,6511,"KL",2016,2.14791666666667,0,3.04862685815067,3,0,0,2,1.28922640075315,-0.47708960455284,110,0.0107687997204814,"KL_2016",0.247644789133822
"24",19561,9776,"KL",2020,2.02738095238095,5.80099961188205,1.33534895439657,7,0,0,4,0.409135353477829,0.754073902863898,112,0.0215262018603636,"KL_2020",0.651260281624804
"25",19570,5868,"AG",2014,1.31666666666667,1.45918028713788,3.15255731922399,1,0,0,1,-0.737126426985468,-2.54564656985265,179,0.0671138076782112,"AG_2014",2.24035606797297
