"","squirrel_id","litter_id","grid","year","mean_growth","cones_tm1","spr_density","age","bucket","bucket2","ls","std_Growt","std_LS"
"1",19264,5875,"AG",2014,NA,1.45918028713788,3.15255731922399,1,1,1,4,NA,0.681869616924817
"2",19264,6088,"AG",2015,1.94722222222222,3.92173718541744,4.73985890652557,2,0,1,3,0.270251733278188,0.319111103773786
"3",19311,5862,"AG",2014,NA,1.45918028713788,3.15255731922399,1,0,0,2,NA,-1.46980784092683
"4",19311,6164,"AG",2015,2.01739130434783,3.92173718541744,4.73985890652557,2,0,1,2,0.434141245842526,-1.38281478301974
"5",19311,6499,"AG",2016,1.45416666666667,0,4.1005291005291,3,0,0,3,-0.616037868238777,0.247549640352635
"6",19311,7725,"AG",2017,1.75,0.385431561719687,3.48324514991182,4,0,0,3,0.0556638968187241,0.0830414468556627
"7",19315,5863,"AG",2014,0.88804347826087,1.45918028713788,3.15255731922399,1,0,0,4,-1.61586347738429,0.681869616924817
"8",19315,6194,"AG",2015,2.41388888888889,3.92173718541744,4.73985890652557,2,0,1,4,1.36021572045307,2.02103699056731
"9",19317,5723,"AG",2014,1.84166666666667,1.45918028713788,3.15255731922399,1,1,1,5,0.339196469065156,1.75770834585064
"10",19317,6217,"AG",2015,1.484,3.92173718541744,4.73985890652557,2,0,1,4,-0.811667281610403,2.02103699056731
"11",19321,5864,"AG",2014,0.427083333333333,1.45918028713788,3.15255731922399,1,0,0,4,-2.56089577862681,0.681869616924817
"12",19321,6113,"AG",2015,NA,3.92173718541744,4.73985890652557,2,0,1,2,NA,-1.38281478301974
"13",19321,6420,"AG",2016,1.46041666666667,0,4.1005291005291,3,1,1,2,-0.600761702072601,-1.32026474854739
"14",19321,7726,"AG",2017,1.25438596491228,0.385431561719687,3.48324514991182,4,1,1,3,-1.05739248975491,0.0830414468556627
"15",19325,5737,"AG",2014,1.13690476190476,1.45918028713788,3.15255731922399,1,0,0,4,-1.10566329161958,0.681869616924817
"16",19334,5804,"AG",2014,NA,1.45918028713788,3.15255731922399,1,1,1,3,NA,-0.393969112001005
"17",19334,6151,"AG",2015,1.8,3.92173718541744,4.73985890652557,2,0,1,3,-0.0736059531519837,0.319111103773786
"18",19334,7026,"AG",2016,1.09848484848485,0,4.1005291005291,3,1,1,3,-1.48539059733204,0.247549640352635
"19",19334,7727,"AG",2017,1.95652173913043,0.385431561719687,3.48324514991182,4,1,1,4,0.519473079834981,1.5777874902576
"20",19339,5926,"AG",2014,1.78636363636364,1.45918028713788,3.15255731922399,1,0,0,3,0.225817578139189,-0.393969112001005
"21",19339,6241,"AG",2015,NA,3.92173718541744,4.73985890652557,2,0,1,NA,NA,NA
"22",19339,6419,"AG",2016,NA,0,4.1005291005291,3,1,1,3,NA,0.247549640352635
"23",19339,7681,"AG",2017,NA,0.385431561719687,3.48324514991182,4,1,1,3,NA,0.0830414468556627
"24",19347,5876,"AG",2014,NA,1.45918028713788,3.15255731922399,1,1,1,2,NA,-1.46980784092683
"25",19347,6144,"AG",2015,1.93492063492064,3.92173718541744,4.73985890652557,2,0,1,3,0.241519689398578,0.319111103773786
"26",19351,5865,"AG",2014,NA,1.45918028713788,3.15255731922399,1,0,0,NA,NA,NA
"27",19370,5877,"AG",2014,NA,1.45918028713788,3.15255731922399,1,1,1,NA,NA,NA
